Patrones: Ejemplo Chevere para entrenar la DMNN
Salidas: Rojizo, Azuladito, Purpuroso
Entradas: ElEjeX, ElEjeY
29.645597,18.913965,1
69.885137,78.683841,2
60.027558,32.888667,0
23.463061,30.505233,0
17.751805,81.476773,2
9.069088,56.185733,2
60.852657,88.936374,0
53.656185,27.421534,0
41.930279,42.794411,1
26.073398,46.172422,0
32.624558,67.881757,0
85.251524,90.057645,2
25.047841,6.577348,1
88.349593,48.409024,2
91.688737,9.33632,1
68.025834,55.204251,2
33.398375,78.795479,0
30.704405,23.317782,0
70.894444,46.636766,1
83.901769,81.918386,2
33.471343,3.882121,2
54.45515,23.053959,0
28.615882,51.063084,0
17.74361,45.631572,2
36.55023,79.375323,0
26.15476,55.791269,0
74.278201,61.802743,1
60.922067,91.114402,0
80.072895,48.785107,2
19.834431,41.779951,2
64.636438,16.099235,0
27.026814,6.349858,1
21.966935,47.824194,2
90.414192,43.451774,2
28.304639,56.609277,0
59.995242,51.127151,1
72.579315,48.90647,1
92.825961,7.698082,1
30.757001,57.891146,0
25.484501,43.599022,0
58.702314,28.093364,0
58.449626,79.87676,2
90.559777,37.427758,2
24.820846,58.046204,0
36.039616,46.17567,1
32.958841,80.051947,2
17.642526,79.438895,2
81.515699,89.837047,2
47.607171,77.212574,2
28.813101,55.977005,0
33.797869,61.231479,0
46.164029,52.078839,1
12.326439,8.442405,0
94.348795,37.739518,2
80.931912,96.644037,2
92.971109,24.93873,2
91.185229,48.791757,2
70.053603,6.087309,1
89.614132,25.808409,1
94.348795,18.869759,1
36.205393,36.552467,0
80.548339,60.820554,2
32.828773,78.91999,2
85.207803,95.494157,2
13.342444,14.668858,0
82.606025,59.493727,2
90.564289,48.08505,2
96.590944,32.395457,2
60.236396,98.244029,0
28.167,24.159946,1
52.696916,35.627332,1
37.163647,60.202198,1
66.044157,75.479036,0
77.482921,32.8849,1
90.959201,9.254698,1
15.312156,17.830624,0
38.96052,51.052563,1
61.306378,26.241105,1
60.041704,44.168988,1
69.058999,78.794946,0
9.084225,6.707342,0
37.065477,40.69569,0
70.922064,42.674673,1
67.172334,7.733387,1
47.020768,80.385776,2
60.637936,91.327439,0
58.780181,33.890882,1
9.980246,9.340849,0
72.656043,50.985954,1
57.612941,34.108669,1
88.905072,14.183252,1
18.670649,75.787298,2
64.679526,80.733864,0
31.429068,30.552147,0
22.755145,74.242592,2
78.287534,53.337624,1
66.044157,94.348795,0
13.486947,87.580953,2
68.319613,5.93362,1
56.609277,94.348795,0
63.514699,73.658847,0
64.703816,36.894466,1
55.920244,7.82249,1
66.756178,88.837563,0
11.874776,61.747337,2
63.676622,20.394175,0
33.670937,42.531101,0
29.53647,21.962317,1
52.807542,74.228552,2
22.91465,68.165519,2
51.618448,71.843594,2
54.13626,79.04628,2
21.123572,60.527168,2
59.246295,78.059579,2
77.094058,36.59014,1
70.92292,41.288408,1
85.903335,75.311748,2
53.04467,90.396229,0
53.496964,51.161636,1
61.045193,38.41854,1
32.129037,82.881579,0
17.608352,76.435058,2
62.062219,48.839541,1
18.869759,75.479036,2
39.421407,32.122325,0
80.92505,80.795172,2
19.777464,70.01237,2
59.692051,17.989534,0
94.119936,29.163279,2
47.107889,87.417917,0
66.76285,26.682242,1
62.698249,35.125611,1
83.766655,86.280407,2
42.941453,50.431951,1
98.871556,40.758646,2
15.085712,53.711287,2
35.814706,33.582844,0
52.562119,49.079229,1
76.331694,79.235675,2
55.649595,47.406006,1
93.440183,37.779644,2
78.463289,17.820013,1
40.698139,61.274527,1
52.292077,12.185605,1
62.952601,82.364683,0
23.007289,75.255349,2
44.597647,97.637137,0
31.165135,13.739983,1
34.395896,76.083757,0
88.322669,24.291176,1
13.986183,78.443611,2
89.390859,96.792566,2
65.788313,90.571913,0
43.129396,32.418594,0
