Patrones: Espiral 2
Salidas: Rojo, Azul
Entradas: X, Y
790.46,293.55,0
871.22,344.15,0
808.62,315.88,0
820.76,356.75,0
841.40,361.24,0
822.72,310.54,0
857.48,372.71,0
829.23,317.37,0
793.32,300.31,0
862.37,340.56,0
876.04,316.56,0
779.96,349.13,0
809.99,321.43,0
788.53,294.17,0
870.79,364.55,0
829.51,361.02,0
797.64,271.08,0
854.09,316.89,0
834.69,360.11,0
775.34,318.92,0
809.17,376.86,0
799.89,360.20,0
821.95,277.73,0
885.84,313.25,0
826.58,329.57,0
800.41,292.54,0
825.14,345.65,0
862.20,346.14,0
887.29,319.94,0
794.34,297.91,0
767.68,320.80,0
868.59,342.25,0
830.81,365.61,0
830.12,380.87,0
774.59,297.05,0
876.72,353.32,0
867.34,350.46,0
-40.59,495.77,1
-37.17,442.12,1
-70.99,478.06,1
-50.94,459.33,1
-52.70,423.09,1
-2.77,445.40,1
-12.31,489.14,1
-35.26,413.15,1
-16.04,411.05,1
3.48,416.25,1
-43.16,454.86,1
-14.79,406.22,1
-23.42,467.74,1
-6.76,463.07,1
-28.01,473.06,1
-0.70,412.35,1
-38.36,456.09,1
3.01,470.89,1
0.84,478.01,1
-7.60,433.20,1
-27.79,451.57,1
-50.82,417.02,1
-59.53,426.60,1
-58.48,456.82,1
813.59,261.02,0
837.55,243.48,0
775.57,243.64,0
779.44,266.34,0
781.58,206.27,0
796.55,221.50,0
755.15,242.63,0
822.91,240.62,0
771.52,267.28,0
829.38,245.19,0
785.18,250.05,0
775.37,256.58,0
759.42,217.97,0
822.74,263.87,0
762.07,252.69,0
806.49,214.15,0
827.81,243.09,0
816.15,240.53,0
760.13,222.97,0
779.83,239.90,0
793.95,212.56,0
828.59,222.98,0
785.27,271.03,0
789.35,247.97,0
798.49,223.06,0
804.27,258.54,0
-25.58,520.39,1
-46.20,519.20,1
-36.50,523.65,1
-34.60,535.13,1
-44.54,514.64,1
-26.38,520.18,1
-29.20,510.52,1
-23.69,521.61,1
-49.15,516.68,1
-26.84,518.31,1
-46.80,518.77,1
-34.08,511.71,1
763.14,214.94,0
765.92,202.62,0
746.47,192.61,0
758.69,194.68,0
758.03,197.36,0
769.91,201.82,0
755.53,215.94,0
739.67,206.58,0
-18.47,527.90,1
38.22,610.67,1
-23.72,574.94,1
67.87,547.92,1
-8.63,572.11,1
30.63,593.37,1
-22.82,575.50,1
-45.62,537.99,1
50.13,518.52,1
4.90,616.98,1
7.55,555.30,1
-7.34,606.53,1
25.84,524.12,1
36.02,522.46,1
-26.05,550.56,1
12.33,610.04,1
-3.89,573.96,1
35.12,597.46,1
19.52,562.32,1
4.71,543.60,1
1.66,595.48,1
67.18,558.33,1
24.48,548.89,1
40.68,543.68,1
51.37,553.31,1
-24.22,579.62,1
-49.65,557.69,1
-19.69,581.00,1
18.47,523.55,1
-18.59,525.43,1
675.44,131.58,0
695.35,150.92,0
739.54,193.29,0
727.42,185.42,0
720.59,200.16,0
721.02,107.95,0
739.17,122.71,0
728.65,152.78,0
727.32,102.55,0
740.33,128.42,0
734.25,158.39,0
696.91,176.36,0
720.48,118.70,0
738.92,146.21,0
732.65,139.56,0
756.12,165.89,0
752.67,108.16,0
741.68,127.40,0
701.52,162.13,0
676.04,119.36,0
720.04,118.38,0
703.33,150.67,0
736.60,176.04,0
753.86,164.48,0
672.80,141.14,0
682.94,155.90,0
693.42,164.85,0
30.05,631.06,1
34.03,635.18,1
56.67,634.92,1
54.64,622.01,1
60.22,651.13,1
45.96,646.74,1
56.76,640.99,1
57.15,661.95,1
63.94,653.43,1
50.30,632.79,1
42.84,627.47,1
38.33,634.24,1
37.90,656.83,1
690.14,100.50,0
689.43,93.79,0
665.84,87.60,0
673.28,94.79,0
686.86,82.47,0
691.99,97.25,0
658.37,97.52,0
674.93,104.12,0
696.55,98.09,0
677.48,84.62,0
99.17,644.72,1
71.98,703.23,1
99.43,686.22,1
122.79,695.44,1
69.32,702.50,1
90.92,699.22,1
80.11,641.27,1
60.31,704.49,1
61.72,660.33,1
126.01,696.08,1
52.99,696.21,1
71.98,657.22,1
90.91,717.78,1
103.80,664.85,1
122.59,642.63,1
49.88,670.34,1
56.11,679.92,1
116.89,671.28,1
106.82,633.80,1
116.45,669.16,1
80.68,683.38,1
132.51,663.55,1
105.55,639.20,1
123.73,643.67,1
127.03,678.56,1
99.04,647.06,1
603.60,58.90,0
625.12,79.98,0
594.94,16.93,0
644.55,13.79,0
620.22,39.93,0
605.92,60.75,0
626.11,-4.20,0
648.46,17.22,0
605.60,62.54,0
650.95,85.40,0
642.69,-6.46,0
620.68,-5.54,0
593.27,27.29,0
657.77,7.59,0
603.59,69.87,0
633.72,31.33,0
638.40,19.96,0
648.44,43.89,0
669.07,35.66,0
589.92,64.52,0
628.88,7.36,0
633.76,74.00,0
657.07,29.26,0
656.67,55.98,0
630.11,8.48,0
632.76,18.37,0
662.98,52.13,0
626.27,21.09,0
590.01,33.25,0
604.34,33.81,0
132.78,695.21,1
153.87,732.99,1
150.98,711.34,1
173.34,741.54,1
199.48,716.31,1
182.92,740.78,1
161.82,682.53,1
163.18,740.23,1
177.14,722.53,1
201.92,706.11,1
174.86,724.53,1
157.95,717.48,1
171.71,676.49,1
146.46,704.59,1
170.19,698.07,1
199.33,711.92,1
147.82,682.84,1
160.03,676.58,1
148.43,725.36,1
134.35,696.51,1
195.72,723.00,1
186.43,716.26,1
146.58,679.42,1
195.14,712.55,1
200.53,694.42,1
173.64,717.67,1
556.29,23.52,0
561.99,25.35,0
578.30,48.74,0
571.52,-12.17,0
587.99,26.52,0
573.39,16.41,0
589.37,7.04,0
558.35,30.80,0
560.47,46.82,0
539.18,-3.85,0
549.47,3.41,0
596.39,-8.95,0
580.12,32.25,0
587.05,7.97,0
553.39,32.63,0
578.02,39.39,0
561.13,-8.33,0
210.65,732.45,1
209.41,751.22,1
205.12,715.41,1
201.28,717.65,1
200.54,748.62,1
219.22,732.71,1
226.93,733.33,1
203.60,729.06,1
215.32,714.35,1
487.19,41.49,0
481.27,-14.67,0
511.74,-3.53,0
515.93,28.38,0
504.80,40.50,0
535.30,-3.78,0
512.21,-25.35,0
477.61,-5.65,0
497.96,26.42,0
491.14,-17.99,0
520.63,14.80,0
492.53,52.84,0
498.23,-8.12,0
509.31,-19.23,0
494.42,10.75,0
478.70,0.97,0
505.80,7.91,0
509.33,-7.25,0
541.20,40.30,0
500.53,-17.52,0
468.71,3.73,0
495.91,3.79,0
534.08,11.10,0
523.43,24.88,0
491.59,2.24,0
502.75,51.17,0
520.73,26.22,0
241.94,745.49,1
235.53,737.78,1
261.62,750.92,1
228.27,760.86,1
267.63,749.09,1
278.26,770.05,1
239.85,739.57,1
269.29,788.99,1
237.66,755.75,1
271.11,741.74,1
278.98,753.27,1
249.89,773.74,1
247.23,730.30,1
259.77,787.15,1
241.15,775.68,1
463.01,-12.17,0
470.93,-11.79,0
473.61,-10.90,0
460.59,17.34,0
444.80,-32.26,0
437.01,-24.98,0
456.25,7.14,0
436.99,-1.55,0
458.60,-33.50,0
453.38,-36.86,0
462.28,-20.56,0
457.19,12.91,0
340.81,766.53,1
339.64,763.64,1
299.26,801.96,1
349.63,776.03,1
348.67,790.62,1
326.05,757.48,1
299.20,743.38,1
349.01,787.53,1
304.02,811.67,1
352.16,790.06,1
282.44,793.93,1
292.91,755.78,1
280.13,733.83,1
275.14,797.71,1
318.21,793.30,1
300.28,732.45,1
334.06,733.61,1
334.82,794.62,1
279.13,794.20,1
343.05,766.69,1
339.33,793.49,1
290.40,783.24,1
353.91,764.36,1
293.30,732.81,1
332.06,788.01,1
299.79,731.61,1
292.25,748.12,1
298.90,725.04,1
284.53,731.86,1
305.97,783.43,1
317.97,753.12,1
340.23,793.73,1
413.56,-8.04,0
394.23,-4.00,0
411.69,1.16,0
423.99,-5.17,0
392.98,-37.25,0
401.57,-37.94,0
383.42,-7.19,0
417.63,-10.01,0
410.50,-31.48,0
382.28,8.92,0
369.36,-19.53,0
369.69,-37.87,0
391.72,-16.81,0
373.40,17.96,0
389.64,-15.27,0
367.86,7.43,0
388.49,-7.64,0
385.22,20.08,0
400.92,-40.21,0
399.11,1.28,0
425.07,-14.03,0
398.22,-15.89,0
365.99,6.69,0
360.77,-7.37,0
401.27,771.75,1
371.15,760.55,1
380.22,776.15,1
376.77,759.91,1
396.52,775.68,1
370.78,761.46,1
392.22,773.58,1
386.92,772.39,1
401.31,759.30,1
400.93,764.26,1
402.39,769.91,1
378.51,763.72,1
330.21,25.74,0
299.08,10.07,0
324.85,44.31,0
332.64,-25.33,0
354.91,-14.24,0
315.44,-9.37,0
344.41,46.70,0
336.91,-9.90,0
349.68,-4.09,0
331.21,18.30,0
317.35,-0.44,0
341.55,-7.73,0
352.62,25.31,0
356.28,4.95,0
348.89,25.13,0
306.55,18.68,0
358.82,-6.92,0
316.99,5.95,0
341.36,-16.82,0
306.11,-0.88,0
331.45,0.98,0
323.38,22.81,0
365.59,30.34,0
