Patrones: Espiral 3
Salidas: Rojo, Azul, Verde
Entradas: X, Y
847.29,365.19,0
830.67,364.47,0
839.32,323.33,0
820.64,340.68,0
845.02,359.27,0
820.74,316.65,0
826.98,283.52,0
827.14,318.86,0
813.51,308.70,0
876.50,317.05,0
811.77,338.01,0
837.52,303.76,0
854.07,358.04,0
820.39,324.46,0
881.64,337.75,0
849.52,354.90,0
806.14,325.67,0
820.47,360.66,0
835.80,363.45,0
844.56,348.84,0
851.47,366.35,0
811.58,290.02,0
863.51,292.34,0
853.08,285.20,0
829.94,350.61,0
837.57,340.10,0
868.12,352.63,0
812.10,281.50,0
848.68,297.00,0
839.21,322.80,0
827.31,302.27,0
858.98,346.93,0
69.86,-9.58,1
49.45,60.50,1
139.15,-10.09,1
83.30,48.06,1
36.10,51.64,1
110.89,30.71,1
43.08,40.32,1
92.12,-44.93,1
142.39,22.93,1
24.15,27.65,1
150.13,29.71,1
95.52,70.66,1
98.74,-19.04,1
143.89,-24.75,1
151.80,4.80,1
53.82,56.65,1
96.21,28.40,1
123.36,-18.72,1
61.44,-18.15,1
106.24,31.86,1
38.15,-5.08,1
67.42,58.32,1
105.73,59.59,1
114.65,-16.54,1
150.46,16.06,1
118.73,49.92,1
26.32,12.79,1
150.30,44.80,1
128.56,18.77,1
67.31,-22.65,1
47.92,11.47,1
69.92,-6.18,1
114.16,22.91,1
115.11,41.12,1
77.56,-37.03,1
133.85,-11.25,1
217.14,794.47,2
240.35,808.47,2
217.85,821.89,2
224.78,809.65,2
208.54,804.50,2
218.82,796.58,2
211.37,811.59,2
809.36,240.10,0
779.87,234.75,0
829.98,267.37,0
806.20,244.09,0
830.04,230.12,0
786.13,260.46,0
815.44,226.76,0
811.92,257.13,0
806.84,248.42,0
811.10,259.66,0
792.67,256.42,0
830.42,221.63,0
815.76,273.77,0
830.51,242.97,0
793.80,224.30,0
805.64,247.21,0
810.68,253.66,0
829.54,229.41,0
807.70,270.32,0
780.18,244.53,0
793.45,231.57,0
802.46,226.13,0
780.75,233.98,0
42.72,102.13,1
23.86,94.50,1
52.91,100.60,1
45.45,87.18,1
36.32,92.03,1
33.68,97.04,1
39.79,79.33,1
267.18,849.49,2
263.45,812.16,2
276.09,830.40,2
317.63,828.48,2
268.52,847.41,2
303.08,791.45,2
265.05,779.30,2
302.42,834.76,2
255.28,822.07,2
304.85,784.28,2
264.28,815.68,2
297.60,785.69,2
296.02,800.82,2
277.01,779.47,2
275.72,807.37,2
289.84,784.64,2
277.29,800.76,2
288.55,828.12,2
257.53,783.27,2
301.34,801.77,2
249.58,820.71,2
289.51,789.14,2
242.34,820.56,2
249.70,817.96,2
780.26,191.21,0
770.88,184.02,0
758.20,196.44,0
773.52,205.99,0
779.28,181.02,0
762.17,189.31,0
777.75,214.76,0
757.49,203.48,0
790.50,191.98,0
36.09,153.91,1
47.33,108.63,1
61.13,142.73,1
13.08,122.86,1
30.38,147.38,1
31.97,151.13,1
49.02,138.48,1
58.24,161.40,1
44.20,134.05,1
50.96,134.01,1
3.91,117.64,1
20.25,128.83,1
58.49,156.81,1
48.62,120.87,1
26.52,170.91,1
15.35,159.83,1
64.68,136.18,1
2.96,164.20,1
44.43,120.29,1
32.85,162.37,1
37.39,137.02,1
25.01,162.66,1
8.97,142.39,1
-2.26,146.25,1
19.91,128.40,1
11.40,110.41,1
331.02,787.34,2
348.94,786.22,2
346.14,824.14,2
379.45,809.00,2
367.16,846.70,2
346.10,833.31,2
373.16,832.28,2
391.36,808.83,2
390.59,774.75,2
364.49,779.13,2
353.72,780.02,2
384.59,776.77,2
335.12,839.33,2
327.31,810.05,2
346.93,795.72,2
334.78,831.78,2
385.87,839.39,2
403.21,823.66,2
365.31,795.68,2
392.72,841.67,2
348.05,773.33,2
364.47,802.62,2
724.32,107.32,0
732.44,103.18,0
753.50,118.12,0
759.47,134.76,0
751.86,116.96,0
720.06,106.07,0
724.61,142.30,0
736.88,111.75,0
732.58,145.06,0
716.33,107.88,0
754.30,127.80,0
701.53,130.82,0
702.42,148.32,0
742.48,144.24,0
725.77,123.45,0
725.46,133.66,0
725.51,121.76,0
8.01,219.39,1
-30.22,203.48,1
-21.34,210.16,1
15.25,189.24,1
-9.08,172.29,1
-0.13,189.58,1
-14.46,244.68,1
-11.95,251.25,1
-28.13,218.25,1
-18.47,248.04,1
-40.06,179.98,1
-39.77,193.26,1
-47.38,190.15,1
-25.76,221.87,1
-10.02,242.16,1
-9.99,250.34,1
-53.55,208.18,1
-5.09,233.92,1
5.48,204.31,1
-33.13,197.95,1
-51.80,229.13,1
15.62,204.91,1
-14.07,222.07,1
-50.55,204.54,1
-24.25,192.80,1
-50.58,191.04,1
422.87,808.76,2
432.37,827.43,2
419.11,833.57,2
441.60,812.76,2
449.76,804.37,2
425.94,843.79,2
415.14,816.51,2
412.22,829.43,2
418.21,812.53,2
434.97,801.61,2
438.36,803.90,2
447.85,797.43,2
457.18,827.37,2
448.14,811.09,2
463.07,825.04,2
439.58,823.45,2
420.23,810.21,2
692.15,119.70,0
714.05,77.91,0
678.13,66.52,0
707.55,90.25,0
699.45,83.22,0
699.40,78.92,0
680.82,82.66,0
687.93,100.44,0
678.72,97.56,0
696.49,83.33,0
712.14,99.06,0
715.76,71.05,0
714.80,85.71,0
-54.73,292.77,1
-23.97,256.72,1
-36.65,253.63,1
-68.49,284.46,1
-53.21,302.79,1
-15.15,279.49,1
-54.94,304.93,1
-17.74,282.00,1
-6.74,267.29,1
-51.65,256.95,1
-52.06,302.20,1
-64.41,258.35,1
-55.36,303.62,1
-46.17,251.57,1
-34.59,279.69,1
-54.45,262.29,1
-42.48,265.33,1
-71.61,278.99,1
-17.59,265.24,1
-14.01,298.34,1
-48.38,281.49,1
-32.77,252.19,1
498.34,794.30,2
479.45,808.77,2
500.90,791.87,2
484.82,808.47,2
494.89,813.09,2
476.40,792.11,2
522.75,794.96,2
466.67,761.56,2
496.66,786.16,2
480.86,751.27,2
467.85,773.00,2
510.03,818.87,2
512.88,817.04,2
469.31,761.48,2
515.50,782.86,2
463.53,812.05,2
458.37,784.26,2
487.01,821.46,2
495.16,820.63,2
514.59,781.53,2
509.60,757.38,2
637.05,48.87,0
618.73,51.00,0
642.51,48.30,0
604.64,44.45,0
629.89,54.41,0
632.06,34.86,0
615.65,60.01,0
601.31,52.60,0
621.95,22.75,0
617.90,27.57,0
604.60,40.24,0
625.69,38.79,0
617.85,63.42,0
634.37,52.87,0
633.56,58.83,0
612.45,60.18,0
-24.57,318.41,1
-34.57,328.64,1
-48.82,348.64,1
-43.33,349.83,1
-46.29,332.92,1
-46.33,348.12,1
-14.10,343.02,1
-13.31,360.07,1
-12.76,362.02,1
-15.58,362.94,1
-36.88,374.62,1
-54.51,364.79,1
576.81,780.11,2
579.29,785.49,2
566.51,793.16,2
589.14,798.93,2
568.92,804.39,2
576.48,792.69,2
570.38,787.29,2
586.52,797.71,2
542.73,9.31,0
583.15,33.05,0
572.26,8.09,0
567.54,48.25,0
568.91,4.00,0
571.57,32.72,0
