Patrones: PayasoLanderANN
Salidas: GiroD, Nula, GiroI, ImpGiroD, Impulso, ImpGiroI
Entradas: Px, Py, Vx, Vy, Ang, Vv
-76.307190,-81.851852,0.000000,0.000000,0.000000,0.000000,1
-76.307190,-75.801780,0.000000,33.628082,0.000000,0.000000,1
-76.307190,-60.842735,0.000000,57.578522,0.000000,0.000000,1
-76.307190,-58.330294,0.000000,57.758570,0.000000,0.000000,4
-76.307190,-52.760317,0.000000,41.067679,0.000000,0.000000,1
-76.307190,-48.953709,0.000000,45.088429,0.000000,0.000000,4
-76.306834,-42.380292,0.024934,7.147257,-0.940296,0.000000,3
-75.537718,-42.631132,11.008402,-7.455438,-71.824685,0.000000,4
-74.064834,-43.161560,22.120593,-8.413663,-97.973899,0.000000,5
-71.649747,-43.676628,31.251612,-6.885515,-91.982940,0.000000,2
-70.348458,-43.813132,30.323408,-2.949446,-80.362872,0.000000,1
-68.670570,-43.802909,29.128545,2.125681,-67.717395,0.000000,2
-67.437141,-43.678798,29.626862,3.659414,-54.203501,0.000000,5
-66.106817,-43.626093,32.024389,0.584324,-38.693350,0.000000,3
-64.714754,-43.651664,32.834304,-0.314570,-33.425417,0.000000,0
-64.253109,-43.641485,32.505961,0.948592,-32.860084,0.000000,1
-60.722806,-43.116672,30.766068,8.201860,-29.971618,0.000000,4
-57.493787,-42.860870,33.804191,-0.110236,-27.910612,0.000000,5
-54.568935,-43.104192,34.295555,-4.665957,-7.983510,0.000000,1
-52.674239,-43.165849,32.944173,0.468785,3.366291,0.000000,0
-49.968111,-42.858429,31.016285,7.802797,-5.165774,0.000000,1
-47.424859,-42.097664,29.201217,14.694853,-14.881273,0.000000,2
-46.602918,-41.773352,28.959462,14.412547,-12.895624,0.000000,5
-43.811412,-41.102901,26.822362,4.968628,14.185653,0.000000,4
-43.077224,-41.010537,25.815381,4.929183,22.013138,0.000000,1
-42.013356,-40.801185,24.264071,6.111132,30.124364,0.000000,3
-39.494681,-40.784002,17.173236,-4.621849,8.577404,0.000000,4
-39.253885,-40.819519,17.001504,-3.319045,4.926497,0.000000,1
-38.543132,-40.870633,16.625960,-1.995107,-4.916417,0.000000,3
-37.046305,-41.260264,19.013880,-8.766603,-35.596027,0.000000,4
-33.071632,-42.839257,31.722737,-16.370082,-68.309042,0.000000,5
-30.574723,-43.773325,36.444032,-16.922059,-61.516901,0.000000,1
-27.106389,-44.621696,33.968219,-7.243601,-50.513328,0.000000,2
-24.764907,-44.798680,32.303439,-0.710555,-32.019388,0.000000,1
-20.027678,-44.047572,29.113324,9.998201,-7.267598,0.000000,4
-17.606485,-43.677939,27.954304,4.592247,-1.958120,0.000000,1
-13.856529,-42.520829,25.229052,13.642929,1.970302,0.000000,4
-9.915273,-41.889168,21.504216,-2.166189,2.550500,0.000000,3
-8.719567,-42.112784,20.999168,-7.024293,-7.560300,0.000000,4
-8.124919,-42.273625,20.840642,-6.827884,-12.387829,0.000000,1
-6.144174,-42.396455,19.424841,2.154344,-22.151306,0.000000,2
-4.547753,-41.984066,18.288102,9.393780,-7.219105,0.000000,1
-3.789312,-41.636911,17.722008,10.321235,0.871222,0.000000,4
-2.596504,-41.271935,16.254734,6.200707,9.831219,0.000000,1
-48.856209,-79.135802,0.000000,0.000000,0.000000,0.000000,1
-48.856209,-73.450674,0.000000,32.699400,0.000000,0.000000,1
-48.856209,-58.747165,0.000000,56.892510,0.000000,0.000000,1
-48.856209,-56.265929,0.000000,57.102960,0.000000,0.000000,4
-48.855861,-49.678274,0.024515,33.115373,-0.929745,0.000000,3
-48.654173,-47.218338,4.146822,19.940511,-37.405206,0.000000,4
-47.778131,-46.055123,12.766294,12.601891,-60.450841,0.000000,5
-46.323975,-45.426107,18.988464,9.228067,-50.322081,0.000000,2
-45.534920,-45.056582,18.424487,12.677982,-38.394172,0.000000,0
-44.753276,-44.601867,18.799416,13.690344,-35.717467,0.000000,3
-43.890040,-44.239284,21.171532,10.160628,-40.357466,0.000000,4
-42.916867,-43.984027,23.784725,6.868262,-43.572894,0.000000,5
-40.669592,-43.789378,27.923421,0.204217,-29.288979,0.000000,4
-38.627007,-43.965517,29.332773,-5.632538,-18.267415,0.000000,3
-37.795454,-44.096516,29.222659,-5.461841,-19.258501,0.000000,0
-35.777287,-44.180465,27.790457,0.996082,-34.122644,0.000000,1
-34.996056,-44.144698,28.252769,1.164313,-39.926111,0.000000,4
-32.341369,-44.287054,33.573727,-4.482367,-50.714329,0.000000,5
-30.319175,-44.550564,35.857789,-5.775381,-44.923886,0.000000,1
-25.969568,-44.490049,32.756708,5.598767,-33.504973,0.000000,2
-23.291126,-43.868288,30.839791,12.600893,-10.969193,0.000000,1
-19.950528,-42.364034,28.457253,21.335548,10.091223,0.000000,0
-19.154263,-41.897263,27.655132,20.918331,8.943042,0.000000,3
-17.638716,-41.155504,26.280732,15.140492,-1.694499,0.000000,4
-12.360526,-40.376576,27.993218,-2.855243,-20.966426,0.000000,5
-10.350872,-40.690419,28.263941,-6.206643,-7.824126,0.000000,2
-9.952273,-40.742950,27.981302,-4.880716,-4.248291,0.000000,1
-8.028109,-40.825256,26.370063,-1.040127,8.873775,0.000000,4
-6.622533,-40.998221,24.002778,-5.837926,14.402911,0.000000,3
-5.342384,-41.372377,21.895943,-10.484328,8.351683,0.000000,4
-4.154527,-41.941062,20.559036,-14.998462,3.218248,0.000000,5
-3.581241,-42.271882,20.050215,-14.679264,5.303436,0.000000,2
-3.300949,-42.413563,19.849713,-13.279655,6.625359,0.000000,1
-22.385621,-80.246914,0.000000,0.000000,0.000000,0.000000,1
-22.385621,-74.557736,0.000000,32.711809,0.000000,0.000000,1
-22.385621,-59.850114,0.000000,56.904790,0.000000,0.000000,1
-22.385621,-54.753118,0.000000,59.691621,0.000000,0.000000,4
-22.385291,-44.103749,0.023540,12.835302,-0.904917,0.000000,3
-22.184720,-43.501952,4.130094,1.412443,-37.313269,0.000000,4
-22.022196,-43.504524,6.259661,-0.614369,-45.127016,0.000000,5
-21.935287,-43.497784,6.197064,0.636035,-47.066215,0.000000,2
-21.848397,-43.477600,6.135094,1.886223,-48.828730,0.000000,1
-21.489746,-43.287904,7.247076,4.651821,-54.292604,0.000000,4
-20.000502,-43.214789,17.785544,-1.912422,-61.139374,0.000000,3
-18.432271,-43.417238,25.168061,-4.797978,-76.742228,0.000000,5
-15.358468,-43.882822,33.894696,-6.058877,-68.491275,0.000000,2
-14.883182,-43.933566,33.555749,-4.741627,-65.344428,0.000000,1
-12.577687,-43.980754,31.911183,1.648105,-52.823778,0.000000,2
-10.382871,-43.695727,30.347218,7.731256,-31.284565,0.000000,1
-7.893389,-42.938936,28.571303,14.630970,-11.326514,0.000000,2
-7.092694,-42.616571,28.080368,14.309570,-2.919563,0.000000,5
-6.315316,-42.355681,27.301468,11.537562,6.418334,0.000000,4
-4.187887,-41.883739,23.553418,6.238141,25.120516,0.000000,1
4.901961,-80.617284,0.000000,0.000000,0.000000,0.000000,1
4.901961,-74.930287,0.000000,32.704420,0.000000,0.000000,1
4.901961,-60.225852,0.000000,56.895340,0.000000,0.000000,1
4.901961,-53.085520,0.000000,61.580199,0.000000,0.000000,4
4.901961,-47.088360,0.000000,44.506158,0.000000,0.000000,1
4.901961,-45.634823,0.000000,44.389739,0.000000,0.000000,4
4.901610,-40.595640,-0.024683,20.596283,0.933980,0.000000,5
4.897311,-40.200933,-0.207432,17.684575,4.282259,0.000000,4
