Patrones: PayasoLanderANN
Salidas: GiroD, Nula, GiroI, ImpGiroD, Impulso, ImpGiroI
Entradas: Px, Py, Vx, Vy, Ang, Vv
-72.385621,-78.271605,24.509784,-64.689400,-93.750997,0.000000,1
-63.186948,-90.568444,17.948598,-13.738735,-65.971743,0.000000,1
-56.450683,-88.417654,13.143818,23.572069,-64.911731,0.000000,1
-54.856985,-85.669042,12.007105,32.399741,-63.958963,0.000000,2
-53.871926,-83.383098,11.304451,37.855791,-44.442531,0.000000,1
-49.746574,-67.258344,8.361907,60.706356,-10.712562,0.000000,1
-48.946394,-62.547037,8.054535,62.621623,-9.933510,0.000000,4
-47.950354,-57.864139,9.145220,50.677670,-9.526825,0.000000,1
-47.196508,-54.471611,8.856632,52.563273,-9.382743,0.000000,4
-45.968771,-50.236215,10.235243,37.245977,-10.226586,0.000000,3
-44.999278,-48.198109,12.723686,28.084584,-29.666234,0.000000,4
-44.619034,-47.614262,13.316899,27.696200,-36.355989,0.000000,1
-43.883441,-46.325278,12.792160,31.555618,-45.191955,0.000000,2
-43.689220,-46.003530,13.804574,30.267460,-45.298298,0.000000,5
-41.708616,-43.923015,19.450831,19.497528,-20.160248,0.000000,4
-41.153676,-43.524352,19.486076,19.159178,-12.801576,0.000000,1
-40.338902,-42.867017,19.020830,19.803125,-4.286684,0.000000,4
-37.849347,-41.550888,16.155261,8.458516,10.584785,0.000000,1
-36.955225,-41.063588,15.518679,13.085384,12.391957,0.000000,0
-35.890549,-40.186911,14.758109,18.592593,-0.123028,0.000000,1
-34.477916,-38.504669,14.140295,23.372502,-14.569554,0.000000,4
-33.191906,-37.298881,15.601657,17.392044,-20.760181,0.000000,1
-32.320333,-36.464994,15.593790,19.212744,-23.182073,0.000000,4
-31.124769,-35.626589,17.287594,14.958382,-25.072880,0.000000,1
-73.529412,-79.135802,40.589024,33.688293,2.757586,0.000000,1
-59.567462,-65.412171,30.910680,53.745561,-10.562921,0.000000,4
-50.012806,-57.224020,30.232866,20.995564,-11.225981,0.000000,1
-48.340311,-56.242576,29.337108,22.616955,-11.250856,0.000000,4
-43.356584,-54.490979,29.070113,8.466861,-11.284956,0.000000,1
-39.459371,-52.915629,26.290489,19.671627,-10.368235,0.000000,2
-38.723165,-52.487280,25.927587,19.274883,-6.096617,0.000000,5
-36.629108,-51.568276,23.147979,10.901483,20.064916,0.000000,4
-35.712494,-51.273656,21.116013,9.545775,31.640818,0.000000,1
-34.277664,-50.603212,18.954566,12.988953,44.392470,0.000000,4
-33.798648,-50.360292,16.233176,10.814044,46.960567,0.000000,3
-32.789857,-49.910636,9.119352,4.199718,34.455819,0.000000,4
-32.662016,-49.852712,9.028158,5.414043,31.734456,0.000000,1
-31.567329,-48.767561,8.247378,15.812271,15.802745,0.000000,0
-30.781738,-47.260511,7.687095,23.274352,-13.912045,0.000000,1
-29.935259,-44.908262,8.085405,28.873110,-38.772169,0.000000,4
-28.732708,-43.122084,15.272636,20.224887,-47.647076,0.000000,5
-27.163882,-42.091744,20.382478,13.002860,-32.384148,0.000000,4
-25.940373,-41.671625,22.213067,7.900454,-22.871752,0.000000,3
-23.575267,-41.419312,24.782663,1.937424,-37.243937,0.000000,1
-20.251594,-40.504696,22.412996,13.771676,-55.594513,0.000000,2
-18.697203,-39.615918,22.437738,17.000278,-44.242914,0.000000,5
-17.340484,-38.995352,24.207213,14.392630,-24.532891,0.000000,2
-16.996103,-38.826805,23.965140,15.523646,-19.431034,0.000000,1
-15.354570,-37.825637,22.790610,20.902098,-0.043703,0.000000,2
-15.035269,-37.616765,22.446132,19.433681,4.411631,0.000000,5
-14.420946,-37.246722,21.396303,16.584001,13.747186,0.000000,4
-13.307275,-36.655624,18.929576,13.683081,27.417313,0.000000,1
-12.515957,-36.142688,18.367349,17.023310,33.570856,0.000000,0
-12.271848,-35.974888,17.319033,15.756773,33.708944,0.000000,3
-11.234858,-35.308777,13.478831,11.838567,22.018343,0.000000,0
-11.046856,-35.170711,13.344042,12.970172,18.688965,0.000000,1
-8.754957,-32.340741,11.808887,24.242159,-3.751171,0.000000,4
-7.575400,-30.937918,11.926213,16.606207,-7.741380,0.000000,1
-73.529412,-79.135802,-41.589530,64.010834,-78.384251,0.000000,1
-82.655523,-66.549921,-32.879378,72.431512,-100.000000,0.000000,4
-85.418250,-59.211913,-8.921733,65.505762,-100.000000,0.000000,3
-85.513382,-55.149234,4.343233,61.672375,-100.000000,0.000000,4
-84.253979,-50.711698,18.832405,57.482684,-100.000000,0.000000,5
-79.102558,-43.963162,38.105460,46.844642,-56.406075,0.000000,4
-62.772635,-36.318777,42.358120,10.373028,-10.499594,0.000000,1
-60.424537,-35.778775,40.942279,12.394300,-9.523136,0.000000,4
-51.489300,-35.526422,37.966123,-5.456097,-8.009685,0.000000,1
-48.872584,-35.637772,36.314214,-1.547068,-7.868272,0.000000,4
-45.841154,-35.981601,35.183777,-6.243049,-7.773083,0.000000,1
-42.023946,-36.046464,32.669971,1.430660,-7.711424,0.000000,4
-39.290732,-36.206238,31.738553,-3.443519,-7.689628,0.000000,1
-37.966160,-36.261300,30.998042,-2.116407,-7.682921,0.000000,4
-35.366755,-36.641560,30.163326,-6.792963,-7.674466,0.000000,1
-25.964815,-34.225379,23.664303,20.112753,-7.665531,0.000000,4
-23.967799,-33.227690,23.256125,14.146212,-7.665208,0.000000,1
-19.972988,-30.244885,20.609235,25.292277,-7.664936,0.000000,4
-17.643178,-28.618056,20.372248,16.198026,-7.664883,0.000000,1
-15.968380,-27.362703,19.381863,20.096455,-7.664864,0.000000,4
-14.047258,-26.256407,19.232025,12.759233,-7.664853,0.000000,1
-10.500330,-23.151750,16.913642,25.042552,-7.664845,0.000000,4
-8.333248,-21.419148,16.987791,14.610995,-7.664844,0.000000,1
-6.936672,-20.262600,16.195150,18.603668,-7.664843,0.000000,4
-5.552031,-19.358622,16.225260,12.710283,-7.664843,0.000000,1
-73.529412,-79.135802,-60.835414,45.267653,-47.349191,0.000000,1
-83.219081,-72.699899,-53.538104,51.908953,-14.623172,0.000000,4
-86.130222,-70.664880,-50.194233,44.992010,-11.134397,0.000000,3
-96.841252,-61.601105,5.840349,21.698219,-100.000000,0.000000,3
-95.985080,-60.475727,16.209057,20.634790,-100.000000,0.000000,4
-88.620416,-57.228834,46.127557,17.569654,-100.000000,0.000000,3
-83.412428,-55.951137,55.600886,17.632313,-100.000000,0.000000,1
-81.061734,-55.328535,56.137706,19.584030,-100.000000,0.000000,4
-74.874745,-53.920368,67.096494,18.253596,-100.000000,0.000000,5
-64.340183,-52.145536,77.831068,15.705764,-67.504987,0.000000,1
-53.890119,-49.861520,71.403094,23.899097,-39.312963,0.000000,4
-44.693388,-48.158602,71.888810,14.694706,-30.073467,0.000000,1
-41.701141,-47.616408,69.753640,17.988703,-27.555258,0.000000,2
-39.751083,-47.224188,68.951861,17.681845,-22.486894,0.000000,5
-35.871411,-46.613824,67.524240,12.109401,-6.008123,0.000000,4
-34.937026,-46.474121,66.848998,13.228421,-2.316028,0.000000,1
-25.974185,-44.416115,60.457035,23.980376,20.543447,0.000000,2
-25.140793,-44.176262,59.245491,22.567466,23.456479,0.000000,5
-20.537515,-43.016486,49.963985,15.148492,51.430249,0.000000,4
-17.420504,-42.350732,39.939705,10.885770,70.670110,0.000000,5
-15.073931,-41.846077,28.392681,8.844247,96.163000,0.000000,4
-14.673743,-41.738304,28.108754,10.018949,100.000000,0.000000,1
-11.996594,-40.648352,26.199196,17.873975,100.000000,0.000000,0
-7.825504,-37.488162,23.222571,30.111562,57.719614,0.000000,1
-6.242354,-35.749208,21.106949,32.472292,37.977155,0.000000,4
-4.531696,-33.718448,15.257461,24.946012,23.149180,0.000000,1
-3.488622,-32.249035,14.046980,27.403028,17.571685,0.000000,4
-2.303647,-30.609834,10.791873,19.714400,13.383154,0.000000,1
-73.529412,-79.135802,15.688052,-50.943668,17.513746,0.000000,1
-67.641628,-87.534888,11.488414,-3.673162,63.088475,0.000000,1
-63.449121,-82.860753,8.497984,29.987048,64.819241,0.000000,1
-62.978985,-81.473815,8.163129,33.763597,63.910134,0.000000,0
-62.309908,-79.105793,7.685424,39.133315,44.460990,0.000000,1
-60.172530,-67.708346,6.160871,56.293646,11.897417,0.000000,0
-60.003216,-66.508110,5.854701,55.167662,6.981283,0.000000,3
-59.842662,-65.385533,5.635717,51.571645,0.408772,0.000000,4
-58.921287,-60.845811,7.470326,37.295867,-17.844372,0.000000,1
-58.602624,-59.618506,7.783641,37.464542,-20.492591,0.000000,4
-57.945719,-57.859048,10.291668,29.802763,-24.357585,0.000000,3
-56.621662,-56.037389,16.263515,20.695588,-52.468689,0.000000,4
-55.536279,-55.233456,20.021153,18.897354,-67.910699,0.000000,1
-54.956923,-54.814241,21.296670,19.284578,-73.497579,0.000000,4
-53.521721,-54.057745,27.732457,16.748580,-80.778295,0.000000,5
-50.175051,-52.995567,37.731818,11.913886,-64.134578,0.000000,4
-47.916716,-52.561660,40.455766,10.350971,-53.306253,0.000000,1
-45.115102,-51.847882,39.642119,13.762004,-45.740377,0.000000,3
-43.961160,-51.589003,41.190520,11.572109,-46.752028,0.000000,4
-40.897548,-51.115056,43.862156,8.572000,-48.520223,0.000000,1
-39.676709,-50.894781,42.989299,10.895866,-48.077605,0.000000,2
-36.720003,-50.129200,40.882395,16.525671,-34.249293,0.000000,1
-33.905746,-49.099783,39.457371,19.421961,-22.188876,0.000000,4
-30.535558,-48.136886,39.380383,13.653804,-14.030025,0.000000,1
-28.353111,-47.459776,38.114880,15.563527,-10.844077,0.000000,4
-25.687633,-46.822479,37.215856,11.209444,-8.360974,0.000000,1
-73.529412,-79.135802,-39.077287,-18.225306,78.128301,0.000000,1
-78.768630,-80.264128,-35.340798,-4.466286,100.000000,0.000000,0
-87.788547,-78.497804,-28.687572,16.703943,-8.255388,0.000000,3
-91.211649,-77.114624,-6.362484,7.462816,-100.000000,0.000000,4
-91.301390,-77.021486,-6.298859,8.652237,-100.000000,0.000000,1
-91.702840,-76.387812,-3.814269,13.122260,-100.000000,0.000000,4
-89.334058,-74.549131,23.073390,12.662602,-100.000000,0.000000,1
-84.807712,-71.132236,19.844462,28.472485,-99.268101,0.000000,2
-83.176146,-69.084645,18.683167,34.175801,-80.569390,0.000000,1
-80.894614,-65.395137,18.537887,40.027848,-59.689199,0.000000,4
-76.947915,-61.510157,29.369507,28.944535,-50.597343,0.000000,1
-75.710330,-60.545690,29.746912,29.615066,-49.474681,0.000000,4
-68.504012,-57.442447,41.686377,13.292770,-46.205787,0.000000,5
-64.794770,-56.849795,44.635103,6.224505,-26.401795,0.000000,4
-64.169141,-56.770439,44.188752,7.418394,-22.851772,0.000000,1
-61.128932,-56.213062,42.303855,10.715022,-10.691233,0.000000,3
-57.562895,-55.794464,41.587180,5.385655,-22.275811,0.000000,0
-56.981684,-55.724235,41.171309,6.584277,-25.612362,0.000000,1
-52.522247,-54.712522,37.990607,15.782541,-41.842653,0.000000,2
-51.974866,-54.556347,38.665502,14.600880,-41.380265,0.000000,5
-49.129127,-53.941913,40.387260,10.944325,-28.415082,0.000000,1
-44.757623,-52.574647,37.267130,19.799179,-11.410691,0.000000,2
-44.231829,-52.378196,37.116182,18.354135,-8.434001,0.000000,5
-42.176586,-51.744157,35.470290,12.687543,8.270734,0.000000,4
-40.724517,-51.396614,33.708255,11.159631,18.547300,0.000000,1
-37.961800,-50.428457,31.735653,17.851860,30.566608,0.000000,0
-37.527952,-50.251454,30.634819,16.542125,30.277216,0.000000,3
-35.196916,-49.458082,25.855022,11.118991,12.548087,0.000000,0
-34.473548,-49.182616,25.340507,13.405116,3.081954,0.000000,1
-30.114321,-46.295325,22.935857,24.731423,-26.912669,0.000000,4
-29.094794,-45.589181,24.501113,20.605404,-30.624860,0.000000,3
-25.906543,-44.280502,31.922218,11.835513,-65.306174,0.000000,4
-24.431447,-43.944270,36.172236,9.864781,-76.838029,0.000000,5
-20.925231,-43.435785,44.652402,6.436973,-72.982527,0.000000,4
-19.987982,-43.303568,44.205878,8.253676,-70.354437,0.000000,1
-18.459136,-43.031223,42.892919,11.120530,-65.942387,0.000000,2
-17.835981,-42.921225,44.004756,10.280733,-63.031557,0.000000,5
-14.529759,-42.524763,48.035635,5.313281,-41.035634,0.000000,4
-13.851759,-42.454475,47.555278,6.525064,-36.881825,0.000000,1
-7.484194,-41.078288,43.008141,17.901954,-11.818888,0.000000,2
-4.529148,-39.949964,40.900314,23.182135,8.125645,0.000000,1
-73.529412,-79.135802,6.826390,-68.009449,-14.233620,0.000000,1
-71.037628,-92.202426,5.049483,-17.591688,-92.489051,0.000000,1
-69.195163,-91.366181,3.735104,19.691014,-95.803736,0.000000,1
-68.417664,-86.530668,3.180284,35.421928,-94.997810,0.000000,2
-68.114743,-83.612447,2.964232,41.551661,-70.249442,0.000000,1
-67.244402,-71.101460,3.243851,56.555464,-34.600057,0.000000,4
-65.823921,-65.159418,11.714214,39.900334,-32.112790,0.000000,1
-63.372939,-57.166752,10.783440,50.257163,-31.314954,0.000000,4
-61.059868,-52.361987,18.127103,33.249406,-32.104388,0.000000,3
-58.566790,-50.021501,25.833969,23.354566,-62.477249,0.000000,4
-56.928801,-49.091992,29.784399,21.922093,-77.148416,0.000000,1
-55.688588,-48.322177,28.899773,25.002646,-83.808649,0.000000,2
-54.855062,-47.772236,30.251180,25.391614,-83.417721,0.000000,5
-51.860677,-46.281102,37.171441,22.740921,-64.015730,0.000000,2
-51.341585,-46.027820,36.799727,23.765010,-59.797542,0.000000,1
-48.807948,-44.591754,34.996174,28.771573,-43.214296,0.000000,2
-48.309438,-44.301645,35.637959,27.449540,-39.250850,0.000000,5
-46.235933,-43.277015,36.985392,21.831747,-19.413016,0.000000,4
-44.153002,-42.469961,36.389174,18.587935,-4.283381,0.000000,1
-73.529412,-79.135802,-42.409130,-8.575022,34.696679,0.000000,1
-79.224266,-79.285667,-38.354057,4.280486,-11.162607,0.000000,0
-82.356680,-78.767449,-34.992448,9.072901,-42.909223,0.000000,3
-85.115290,-78.305819,-23.262158,6.012932,-92.596973,0.000000,1
-88.786915,-76.586715,-18.460772,18.346479,-100.000000,0.000000,4
-87.443488,-73.030090,22.350551,16.292190,-100.000000,0.000000,1
-84.168738,-70.370433,20.011303,27.721007,-99.135124,0.000000,2
-82.791399,-68.729149,19.030550,32.531754,-84.701836,0.000000,1
-78.810748,-61.900008,17.690566,44.303806,-60.024376,0.000000,4
-76.196222,-58.553502,25.983086,36.738928,-56.822843,0.000000,1
-74.743290,-56.912022,26.349541,38.141922,-55.991626,0.000000,4
-70.165151,-53.529280,36.973089,26.383381,-54.018215,0.000000,5
-67.371659,-52.309170,40.849223,20.344603,-39.132561,0.000000,4
-66.203314,-51.888568,40.949032,20.143761,-33.223673,0.000000,1
-62.841181,-50.391321,39.112803,23.856661,-21.466380,0.000000,4
-61.724293,-49.925555,39.377010,20.983386,-19.857835,0.000000,3
-59.470940,-49.176492,40.221600,15.511061,-26.452046,0.000000,4
-58.321823,-48.858569,40.148584,15.336370,-30.024018,0.000000,1
-73.529412,-79.135802,-46.289775,1.596746,27.273161,0.000000,1
-83.173342,-77.143042,-39.413788,20.030731,86.156335,0.000000,0
-90.916516,-72.657581,-34.363262,32.312895,17.506231,0.000000,3
-95.709084,-66.666100,18.662570,14.333520,-100.000000,0.000000,3
-84.072656,-63.778687,56.503837,11.606252,-100.000000,0.000000,4
-83.282499,-63.642683,55.938798,12.743421,-100.000000,0.000000,1
-75.078285,-61.372986,50.084146,24.553716,-100.000000,0.000000,2
-65.250151,-56.191614,43.075288,38.703861,-38.003849,0.000000,1
-64.039850,-55.362514,42.932204,38.021646,-27.519196,0.000000,4
-60.994812,-53.553461,42.597451,32.683463,-9.190896,0.000000,1
-58.636847,-52.080205,40.921217,33.824647,-0.085825,0.000000,4
-56.942896,-51.098474,39.484001,29.101748,3.675648,0.000000,3
-54.230422,-49.785248,37.669179,21.518586,-5.819337,0.000000,4
-53.702209,-49.543817,37.292487,22.560062,-8.144755,0.000000,1
-49.656190,-47.251762,34.938120,28.052302,-20.054658,0.000000,4
