Patrones: PayasoLanderANN
Salidas: GiroD, Nula, GiroI, ImpGiroD, Impulso, ImpGiroI
Entradas: Px, Py, Vx, Vy, Ang, Vv
15.833520,-84.564905,0.000000,0.000000,0.000000,0.000000,1
15.833520,-78.518049,0.000000,33.633152,0.000000,0.000000,1
15.833520,-63.557396,0.000000,57.582251,0.000000,0.000000,1
15.833520,-41.993506,0.000000,75.297262,0.000000,0.000000,1
15.833520,-37.071621,0.000000,75.739285,0.000000,0.000000,4
15.833170,-31.986908,-0.024586,62.051860,0.931527,0.000000,5
15.736609,-27.890549,-2.377866,49.533857,25.655210,0.000000,4
15.567447,-26.401174,-4.861570,44.779760,37.212480,0.000000,5
14.591867,-23.432251,-14.360336,36.470050,76.900678,0.000000,4
14.109354,-22.674499,-17.932121,35.061036,85.991818,0.000000,3
13.192701,-21.587121,-23.437186,33.373273,91.983456,0.000000,5
11.600833,-20.202497,-30.983990,31.908222,100.000000,0.000000,3
-1.484494,-14.748675,-52.370626,17.565953,7.554731,0.000000,0
-2.937869,-14.366530,-51.131677,17.202920,-7.484698,0.000000,4
-4.360168,-14.040075,-49.199932,14.422262,-20.772739,0.000000,3
-5.698291,-13.772674,-46.635965,11.899123,-33.964145,0.000000,4
-7.544918,-13.462726,-41.882651,8.632855,-50.151622,0.000000,3
-9.643055,-13.180563,-33.986393,5.603085,-74.585389,0.000000,4
-10.895149,-13.027515,-27.198773,4.463134,-89.783669,0.000000,3
-12.311161,-12.801495,-15.272617,4.144884,-100.000000,0.000000,4
-12.645858,-12.713853,-10.624733,4.062401,-100.000000,0.000000,5
-12.286682,-12.318189,12.000399,1.850997,-75.965762,0.000000,4
-11.667819,-12.278166,14.973927,1.865278,-65.701841,0.000000,1
-10.223448,-11.798054,15.242284,8.115332,-51.295282,0.000000,4
-9.990618,-11.721627,16.332289,7.095512,-49.027486,0.000000,5
-8.366992,-11.486023,20.060384,2.806053,-23.024688,0.000000,2
-7.807375,-11.386689,19.661182,5.250335,-11.806392,0.000000,1
-3.027177,-8.038634,15.479051,23.786361,29.545451,0.000000,4
-2.629153,-7.574498,13.628668,21.063054,29.844048,0.000000,3
-1.562172,-6.405389,9.300752,11.488114,7.813971,0.000000,4
-1.431792,-6.270272,9.207745,12.629517,4.152531,0.000000,1
-0.196829,-4.272047,8.327319,23.442084,-16.385095,0.000000,2
0.153761,-3.482274,8.394357,23.993131,-12.049793,0.000000,5
0.399049,-3.013058,8.634793,21.012499,-6.396682,0.000000,4
1.331103,-1.739816,7.699351,12.234044,7.196130,0.000000,1
-27.119156,-43.230318,0.000000,0.000000,0.000000,0.000000,1
-27.119156,-41.877139,0.000000,16.498012,-0.945847,0.000000,0
-27.109367,-40.349771,0.691245,21.483936,-26.610674,0.000000,3
-26.441908,-38.940905,11.193922,13.533313,-79.418856,0.000000,4
-23.773565,-37.751427,28.671647,11.828978,-100.000000,0.000000,5
-21.913510,-37.244534,33.912288,12.578778,-96.168050,0.000000,2
-18.239709,-35.741871,31.292383,21.316525,-59.711296,0.000000,1
-14.850717,-33.524781,28.874881,29.376676,-31.881347,0.000000,2
-13.644509,-32.549624,28.512581,29.762913,-18.948439,0.000000,5
-12.633023,-31.828993,28.558730,26.076408,-6.554574,0.000000,4
-10.500094,-30.558682,26.467667,20.341269,11.517536,0.000000,1
-5.964297,-26.765091,22.482883,30.816164,28.485951,0.000000,4
-5.094251,-25.869662,19.522685,26.538158,30.963062,0.000000,5
-3.509913,-24.077806,8.841936,17.213435,63.766471,0.000000,4
-3.259268,-23.554570,5.258378,16.768634,75.840660,0.000000,1
-3.185358,-23.362978,5.205794,17.860587,78.162161,0.000000,0
-2.487462,-20.836067,4.708027,28.168312,54.338167,0.000000,1
-1.867208,-17.289605,3.504727,35.075836,29.065001,0.000000,4
-1.770491,-15.654305,0.120887,27.634349,22.562212,0.000000,3
-1.805092,-14.860660,-1.194884,23.192767,13.845404,0.000000,4
-1.846864,-14.382289,-1.461555,22.786544,8.854460,0.000000,1
-2.130479,-9.493767,-1.045677,34.647576,-7.961488,0.000000,4
-2.154468,-8.484259,-0.305482,29.924833,-10.080569,0.000000,3
-2.136369,-7.622867,0.858298,25.404274,-17.454708,0.000000,4
-1.649722,-5.818156,5.885048,15.572794,-31.338807,0.000000,1
-1.486574,-5.452279,5.767935,17.747491,-32.068431,0.000000,2
-0.933041,-3.831711,5.641598,22.572060,-10.058217,0.000000,5
-0.852259,-3.607089,5.733570,21.100719,-5.671201,0.000000,4
-0.174553,-2.038034,1.831955,7.216358,22.824799,0.000000,1
41.100618,-64.337479,0.000000,0.000000,0.000000,0.000000,1
41.100618,-58.650625,0.000000,32.703604,0.000000,0.000000,1
41.100618,-48.626510,0.000000,48.615053,0.000000,0.000000,4
41.100282,-47.181184,-0.023915,43.450615,0.914498,0.000000,5
40.723145,-43.182002,-6.540009,26.915374,49.662815,0.000000,3
37.736922,-40.421147,-20.062696,10.500431,19.149932,0.000000,5
37.459974,-40.298597,-19.862069,11.632526,16.340629,0.000000,2
